id;contact_id;name;interest;deletedAt;user_id;plan_stage_id;stage_order;not_company
191;NULL;Cencosud;2;NULL;255;NULL;NULL;0
192;NULL;SAMSUNG;2;NULL;259;NULL;NULL;0
193;140;"Inmobiliaria Convet";3;NULL;260;NULL;NULL;0
194;NULL;"Cristalerías Chile";1;NULL;255;NULL;NULL;0
195;NULL;Decathlon;1;NULL;252;NULL;NULL;0
196;NULL;3m;1;NULL;259;NULL;NULL;0
197;NULL;Rosen;1;NULL;255;NULL;NULL;0
198;NULL;OXO;2;NULL;252;NULL;NULL;0
199;NULL;AMAZON;1;NULL;259;NULL;NULL;0
200;NULL;"Mercado Libre";2;NULL;254;NULL;NULL;0
201;414;"Alta Administración Publica";1;NULL;256;NULL;NULL;0
202;NULL;"Farmacias Ahumada";1;NULL;252;NULL;NULL;0
203;NULL;"Accor Hotels";2;NULL;254;NULL;NULL;0
204;413;"Inmobiliaria Ingevec";1;NULL;260;3;4;0
205;NULL;Nielsen;2;NULL;254;NULL;NULL;0
206;NULL;"Inmobiliaria Absal";3;NULL;260;NULL;NULL;0
207;NULL;"Inmobiliaria Icalma";3;NULL;260;NULL;NULL;0
208;NULL;"Inmobiliaria Activa";3;NULL;260;NULL;NULL;0
209;NULL;"Inmobiliaria Actual";1;NULL;260;NULL;NULL;0
210;NULL;"Absalon Inmobiliaria";1;NULL;260;NULL;NULL;0
211;NULL;"Urmeneta Gestion Inmobiliaria";2;NULL;260;NULL;NULL;0
212;NULL;Inmobilia;1;NULL;260;NULL;NULL;0
213;NULL;"Inmobiliaria Sinergía";2;NULL;260;NULL;NULL;0
214;NULL;"Inmobiliaria Imagina";3;NULL;260;NULL;NULL;0
215;NULL;"Icafal Inmobiliaria";3;NULL;260;NULL;NULL;0
216;NULL;"Besalco Inmobiliaria";1;NULL;260;NULL;NULL;0
217;NULL;Codelco;2;NULL;254;NULL;NULL;0
218;NULL;"Echeverría Izquierdo Inmobiliaria";1;NULL;260;NULL;NULL;0
219;NULL;"Siena Inmobiliaria";1;NULL;260;NULL;NULL;0
220;NULL;Almahue;2;NULL;260;NULL;NULL;0
221;NULL;"Inmobiliaria Terrafirme";3;NULL;260;NULL;NULL;0
222;NULL;"Constructora Ignacio Hurtado";2;NULL;260;NULL;NULL;0
223;NULL;"Inmobiliaria Santafe";3;NULL;260;NULL;NULL;0
224;NULL;"Inmobiliaria Uriarte y Pérez-Cotapos";2;NULL;260;NULL;NULL;0
225;NULL;"Euro Inmobiliaria";1;NULL;260;NULL;NULL;0
226;NULL;Sodexo;2;NULL;254;NULL;NULL;0
227;NULL;"Inmobiliaria Núcleos";1;NULL;260;NULL;NULL;0
228;NULL;"Grupo Baquedano";2;NULL;260;NULL;NULL;0
229;NULL;"Grupo Axion";2;NULL;260;NULL;NULL;0
230;NULL;Armas;1;NULL;260;NULL;NULL;0
231;NULL;Boetsch;1;NULL;260;NULL;NULL;0
232;NULL;Dical;3;NULL;260;NULL;NULL;0
233;NULL;Enaco;2;NULL;260;NULL;NULL;0
234;NULL;Exxacon;1;NULL;260;NULL;NULL;0
235;NULL;Fundamenta;1;NULL;260;NULL;NULL;0
236;NULL;"Grupo Inmobiliario Santafe";3;NULL;260;NULL;NULL;0
237;NULL;Indesa;1;NULL;260;NULL;NULL;0
238;327;"Inmobiliaria Numancia ";1;NULL;260;3;3;0
239;NULL;"Inmobiliaria Umbrales";1;NULL;260;NULL;NULL;0
240;NULL;Manquehue;1;NULL;260;NULL;NULL;0
241;NULL;"Proyecta Inmobiliaria";3;NULL;260;NULL;NULL;0
242;NULL;"Puerto Capital Inmobiliaria";1;NULL;260;NULL;NULL;0
243;NULL;"Sencorp Desarrollo Inmobiliario";3;NULL;260;NULL;NULL;0
244;NULL;"Surmonte Inmobiliaria";1;NULL;260;NULL;NULL;0
245;NULL;"Santolaya Constructora Inmobiliaria";3;NULL;260;NULL;NULL;0
246;166;Jumbo;1;NULL;253;NULL;NULL;0
248;161;Paris;1;NULL;253;NULL;NULL;0
249;173;Paris;1;NULL;253;1;9999;0
250;162;Cencosud;1;NULL;253;NULL;NULL;0
251;436;"Empresa 1";1;NULL;62;3;2;0
252;NULL;"Empresa 4";1;NULL;62;NULL;NULL;0
253;437;Unilever;1;NULL;62;1;1;0
254;900;"Empresa 3";1;NULL;62;2;1;0
255;NULL;entel;1;NULL;270;NULL;NULL;0
256;441;falabella;1;NULL;270;NULL;NULL;0
257;443;bice;1;NULL;270;NULL;NULL;0
258;455;Security;2;NULL;270;NULL;NULL;0
259;496;ripley;1;NULL;270;NULL;NULL;0
260;NULL;"Acalis Latam ";1;NULL;273;NULL;NULL;0
261;NULL;Codelco;1;NULL;274;NULL;NULL;0
262;499;Redbanc;1;NULL;271;NULL;NULL;0
263;500;Nexus;1;NULL;271;NULL;NULL;0
264;NULL;ITAU;1;NULL;270;NULL;NULL;0
